"block","plot","accession","Entry","Name","Pedigree","NY Seed","random"
1,64,"LA17031SBSS-77-1",426,"LA17031SBSS-77-1","HZN 306  / LA16049,F1 (HZN 306  / UFRGS 087045-3)","seed available",0.136241798754781
1,65,"LA06059SBSBSB-97-S",64,"LA06059SBSBSB-97-S","TAMO 405/LA99016","seed available",0.136970595223829
1,66,"FL03001BSB-S7",12,"FL03001BSB-S7","LA9339E45/Bw3996","seed available",0.140421786345541
1,67,"TX02U 7047",194,"TX02U 7047","TAMO386ERB/TAMO386R/92SAT24-4","seed available",0.14091580430977
1,68,"TX02U 7479",197,"TX02U 7479","92M1009(T386""S""/94Ab347","seed available",0.141452071024105
1,69,"FLLA17149-30",344,"FLLA17149-30","NC12-3447 / LA09015SBS-U1","seed available",0.144608189817518
1,70,"TX20CAS1047",410,"TX20CAS1047","TX14OCS5159/LA07070SBSBSBS-65-S1","seed available",0.145999194122851
1,71,"LA17089SBS-45-1-1",325,"LA17089SBS-45-1-1","LA10041SSBS-80 / LA99017","seed available",0.146088281879202
1,72,"TX19CAS0066",359,"TX19CAS0066","TX14OCS5003/LA09074SBS-U4","seed available",0.146647811168805
1,73,"FL13123-50",253,"FL13123-50","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13","no seed for NY 2025",0.149106514872983
1,74,"LA07065SBS-FS2-Ab1",87,"LA07065SBS-FS2-Ab1","TAMO 405/UFRGS 028152-1","seed available",0.14996198983863
1,75,"TROPHY",193,"TROPHY","LA90120C2-3-AB1/TX96M1558","seed available",0.152159813093022
1,76,"LA07048SBSB-5",82,"LA07048SBSB-5","LA98002SBS-64  /  LA99017","seed available",0.152827419806272
1,77,"FL03254-L1",14,"FL03254-L1","LA982IBI-64(833/TAMO 397)/UFRGS 028155","seed available",0.153857798082754
1,78,"LA07048SBSB-19",79,"LA07048SBSB-19","LA98002SBS-64  /  LA99017","seed available",0.154362236149609
1,79,"LA04004SBSB-121",51,"LA04004SBSB-121","UFRGS995080-1/9818IBI-24-B-I1","seed available",0.154840422794223
1,80,"LA06059SBS-84-S1",62,"LA06059SBS-84-S1","TAMO 405/HZN LA976","seed available",0.158454828197137
1,81,"TX14OCS5061",223,"TX14OCS5061","TX08CS2235//TX00D110","seed available",0.166315322509035
1,82,"LAFL13108FSB-22-1-1",437,"LAFL13108FSB-22-1-1","LA07065SBSBSB-20 (TAMO 405/UFRGS 028152-1)/BW 533","seed available",0.167864795541391
1,83,"LA16179SSBSS-22-1",421,"LA16179SSBSS-22-1","TX14OCS5212 / LA15044,F1,(HZN 306 (LA05006) / LA08048SBSBS-15)","seed available",0.168139846296981
1,84,"NC14-1619",161,"NC14-1619","BYDV-135 / Gerard 224","seed available",0.170355383306742
1,85,"FLLA17088-66",386,"FLLA17088-66","LA10044SSBS-1 / LA10001SSBS-20","seed available",0.171035423874855
1,86,"LA99017 (BUCK)",131,"LA99017 (BUCK)","TX96M1385/LA604","seed available",0.171248629456386
1,87,"NC14-1554",155,"NC14-1554","NC3981-4 / WT1","seed available",0.17264947318472
1,88,"NC14-1695",165,"NC14-1695","Gerard 229 / NC05-5456","seed available",0.172674029832706
1,89,"TX20CAS1063",415,"TX20CAS1063","TX15OCS6138/TX07CS1228","seed available",0.173218877287582
1,90,"FLLA17051-21",378,"FLLA17051-21","LA09015SBS-U1 / LA16067,F1 (LA07059SBSBSB-44 / NC12-3578)","seed available",0.175905929645523
1,91,"NC14-1989",182,"NC14-1989","SS76-40 / NC05-5455","seed available",0.179153995122761
1,92,"TX20CAS1037",305,"TX20CAS1037","TX14OCS5086/LA14036S","seed available",0.180756743764505
1,93,"FL13113-69",251,"FL13113-69","FL0858-S2-Ab1 (LA04013SBSB-S3(99012SBS-23-S/UFRGS995080-1)/FL0047-J2(Horizon 474/TX97C1168))/BW 08-5","seed available",0.182842842303216
1,94,"TX19CAS0017",350,"TX19CAS0017","TX07CS1948/LA08051BS-T2//TX14OCS5189","seed available",0.186087974812835
1,95,"Gerard 224",37,"Gerard 224","Rodgers/Txab29923//Rodgers","seed available",0.18665021751076
1,96,"LA07059SBSBSB-44",85,"LA07059SBSBSB-44","ND000824  /  TROPHY","seed available",0.187404189491645
1,97,"TX19CAS0091",362,"TX19CAS0091","FL0772-R2 / LA13036, F1(LA06067SBSBSB-13 / LA07048SBSB-39)//TX14OCS5134","seed available",0.188196876551956
1,98,"NC12-3931",142,"NC12-3931","Rodgers / NC03-2421","seed available",0.190189972519875
1,99,"FLLA17077-16",384,"FLLA17077-16","LA10001SSBS-20 / NC12-3447","seed available",0.191880301106721
1,100,"FL99153FBS-45-1-B-S-B-S1-B-S1",31,"FL99153FBS-45-1-B-S-B-S1-B-S1","TX95C3147/FL98007 F1(SC 942283/UFRGS 940556)","seed available",0.192096183774993
1,101,"FLLA16117-4",288,"FLLA16117-4","LA15040,F1,(FL0720-R6 / LA99017) / NC12-3578","seed available",0.197178533999249
1,102,"TX14OCS5193",233,"TX14OCS5193","Horizon 201//TX02U7473","seed available",0.199574361089617
1,103,"FL0923-U2",19,"FL0923-U2","MN 06133 (Sask01T-602-05-06/MN01117)/F1 FL0852 (FL0748 F1(Ave. 135.02/SD030888 (SD97039//SD96280/OT275)) /LA97006GSB-59-2-4-SBS1 (FL92OHR26763/TX93M2107))","seed available",0.202228634851053
1,104,"TX14OCS5010",210,"TX14OCS5010","TX02U7227//NF27","seed available",0.203740948112682
1,105,"Savage (TX14OCS5212)",439,"Savage (TX14OCS5212)","FL0115-J4/TX02U7047","seed available",0.204175097402185
1,106,"FLLA17069-52",337,"FLLA17069-52","LA09015SBS-U4 / LA99016","seed available",0.204964086180553
1,107,"TIFT",192,"TIFT",NA,"seed available",0.212246326031163
1,108,"LA07007SBSB-68",69,"LA07007SBSB-68","FL0206FSB-34-S2  /  LA06070,F1 (UFRGS046048-1/HZN 270)","seed available",0.215485506691039
1,109,"FLLA11019S-8",235,"FLLA11019S-8","FL0564-Ab13 / LA06071SBSB-S1","seed available",0.218743917532265
1,110,"LA04004SBSB-7-B-S1",53,"LA04004SBSB-7-B-S1","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1","seed available",0.219809893751517
1,111,"LA07023SBS-FS5-Ab1",73,"LA07023SBS-FS5-Ab1","LA02029SBSBS48/LA06022,F1 (LA9339/UFRGS 028152-1)","seed available",0.220176292583346
1,112,"FLLA17069-56",381,"FLLA17069-56","LA09015SBS-U4 / LA99016","seed available",0.220865500392392
1,113,"TX19CAS0073",361,"TX19CAS0073","LA08085BS-T4/TX02D079","seed available",0.22101357136853
1,114,"LA09016SBS-U6",112,"LA09016SBS-U6","FL0210-J1/UFRGS 046050-4","seed available",0.221824754029512
1,115,"TX05CS 347-1 (??TAMO405)",199,"TX05CS 347-1 (??TAMO405)","TAMO 405/Plot Spike LA9339","seed available",0.224162115482613
1,116,"LA99016",130,"LA99016","TX96M1385/SECTLA495","seed available",0.2290240873117
1,117,"Cantara",5,"Cantara","FL03053-S06-15-B-S1 (LA989IBI-51-B-I1-I2/UFRGS01B6189-6-3)","seed available",0.235913141863421
1,118,"TX14OCS5069",225,"TX14OCS5069","TX02U7605//FL115-J2","seed available",0.237072823336348
1,119,"LA17008SBSS-24-1",319,"LA17008SBSS-24-1","BW 08-5 / LA16160,F1 (SD110304 / TX14OCS5212)","seed available",0.241340136853978
1,120,"TX19CAS0004",349,"TX19CAS0004","LA07005SBSBSB12/TXO7CS1948","seed available",0.249145632842556
1,121,"NC14-1820",174,"NC14-1820","SS76-40 / NC02-8057","seed available",0.24943621782586
1,122,"TX09CS1056",206,"TX09CS1056","03ABF1#105(TX96M1384/Horizon 314)//TAMO 405","seed available",0.250069305999205
1,123,"LA07070SBSBSBS-65-S1",88,"LA07070SBSBSBS-65-S1","TX02U7473/UFRGS 01B7114-1-3","seed available",0.250168230151758
1,124,"FLLA17028-12",262,"FLLA17028-12","HZN 306  / LA16032,F1 (FL0720-R6 / LA99017)","seed available",0.251606360310689
1,125,"NC14-1543",154,"NC14-1543","NC3981-4 / WT1","seed available",0.252680043224245
1,126,"FLLA16179-9",401,"FLLA16179-9","TX14OCS5212 / LA15044,F1,(HZN 306 (LA05006) / LA08048SBSBS-15)","seed available",0.255986314034089
1,127,"LA09013SBS-U4",109,"LA09013SBS-U4","FL0115-J2/WIX8347-2-B-S1","seed available",0.260149381821975
1,128,"LA09103SBS-U5",126,"LA09103SBS-U5","LA97006GSB-59-2-4/UFRGS08708-4","seed available",0.271396437427029
1,129,"NC14-1491",148,"NC14-1491","NC02-456 / SS76-40","seed available",0.275942378910258
1,130,"HORIZON 306",42,"HORIZON 306","LA9339’/’TAMO 405","seed available",0.276697205845267
1,131,"FLORIDA 502",35,"FLORIDA 502",NA,"seed available",0.27686475799419
1,132,"TX20CAS1041",407,"TX20CAS1041","TX14OCS5141/LA07070SBSBSBS-65-S1","seed available",0.278329856693745
1,133,"TX20CAS1002",298,"TX20CAS1002","LA09026SBS-U1//TX09CS1112/LA06059","seed available",0.279847075231373
1,134,"TX20CAS1001",297,"TX20CAS1001","LA07005SBSBSBS-9-S1/TX14OCS5073","seed available",0.281598566100001
1,135,"NC20-4551",448,"NC20-4551","Horizon578/NC10-5051","seed available",0.284587774192914
1,136,"TX20CAS1062",414,"TX20CAS1062","TX15OCS6138/TX07CS1228","seed available",0.285267913015559
1,137,"FLLA17088-61",341,"FLLA17088-61","LA10044SSBS-1 / LA10001SSBS-20","seed available",0.286891464143991
1,138,"NC14-1501",151,"NC14-1501","Gerard 224 / Caballo","seed available",0.288846371462569
1,139,"Horizon 201",40,"Horizon 201","FL92OHR35183-Y1/TX96M1384 (=FL99201-D29-E1)","seed available",0.292072087293491
1,140,"NC14-1747",166,"NC14-1747","Gerard 224 / NC03-5579N","seed available",0.294563831528649
1,141,"TX14OCS5070",226,"TX14OCS5070","FLO115-J2//TX02U7682","seed available",0.296129760565236
1,142,"LA08016SBSBS-44-S1",89,"LA08016SBSBS-44-S1","BW5-33/UFRGS046048-1","seed available",0.30218101432547
1,143,"TX20CAS1061",413,"TX20CAS1061","TX15OCS6138/TX07CS1228","seed available",0.303356625838205
1,144,"TX20CAS1076",417,"TX20CAS1076","TX14OCS5208/TX09CS031//TX15OCS6137","seed available",0.304507578257471
1,145,"FLLA09044-U1",239,"FLLA09044-U1","UFRGS 028153-2/LA99016","seed available",0.305060006445274
1,146,"FLLA17084-28",286,"FLLA17084-28","LA10041SSBS-80 / LA99017","seed available",0.305244419723749
1,147,"LA07049SBSBSBS-52-S1",83,"LA07049SBSBSBS-52-S1","LA99016/HZN 270","seed available",0.30616708076559
1,148,"SECTARIAT LA495",186,"SECTARIAT LA495","Coker 84-15*2/4/'Blizzard'/3/Coker 79-21//'Coker 234'/CI9139","no seed for NY 2024 or 2025",0.311580602778122
1,149,"LA05011GSBSBSB-11",58,"LA05011GSBSBSB-11","TAMO405/LA99016","seed available",0.311658921185881
1,150,"LA09040SBS-U1",115,"LA09040SBS-U1","LA02035-I-J1-S1/LA08092,F1(UFRGS 057023-4 / TAMO405)","seed available",0.31244589574635
1,151,"FLLA17074-47",268,"FLLA17074-47","LA10001SSBS-20 / MN2013BT1020-1-1","seed available",0.315520679811016
1,152,"FLLA17088-60",271,"FLLA17088-60","LA10044SSBS-1 / LA10001SSBS-20","seed available",0.315535663394257
1,153,"TX02U 7097",195,"TX02U 7097","TX92M1505(C5-2 1563 CR Cpx/SR Cpx/unknown)/TX83Ab2923","seed available",0.318727048812434
1,154,"FLLA17069-76",383,"FLLA17069-76","LA09015SBS-U4 / LA99016","seed available",0.319541537435725
1,155,"LA07007SBSBSB-24",71,"LA07007SBSBSB-24","FL0206FSB-34-S2/LA06070,F1 (UFRGS046048-1/HZN 270)","seed available",0.323533719405532
1,156,"FLLA17030-23",346,"FLLA17030-23","HZN 306  / LA16090,F1 (LA08085SBSBS-30 / MN2013BT1021-1-2)","seed available",0.32361834240146
1,157,"LA17080SBS-32-1-1",432,"LA17080SBS-32-1-1","LA10001SSBS-20 / MN2013BT1021-1-2","seed available",0.329769318224862
1,158,"NC14-1482",147,"NC14-1482","NC02-456 / SS76-40","seed available",0.331328870495781
1,159,"TX14OCS5182",232,"TX14OCS5182","Plot Spike//TX07CS425","seed available",0.336277392227203
1,160,"FLLA17119-74",275,"FLLA17119-74","MN11211 (SA081654)2 / NC12-3447","seed available",0.336847399827093
1,161,"NC13-6584",145,"NC13-6584","NC01-3981/WN10B//NC01-3981","seed available",0.338544465834275
1,162,"NC14-1832",175,"NC14-1832","SS76-40 / NC02-8057","seed available",0.342115001287311
1,163,"LA08085SBSBS-48",103,"LA08085SBSBS-48","UFRGS 046048-1 F6/FL0206FSB-34-S1-B-S1","seed available",0.343460761243477
1,164,"LA07017SBSB-30",72,"LA07017SBSB-30","LA02018SBSBS5-B-S1(LA9533D36-6/TX98D666)  /  LA9339","seed available",0.34518839023076
1,165,"LA02065SBSBSBSB-88",45,"LA02065SBSBSBSB-88","LA604/982IBI-64(833/T397)","seed available",0.345205117017031
1,166,"TX20CAS1024",302,"TX20CAS1024","FLO522/TX07CS2783//TAMO405/LA9339(PS)///LA05011GSBS-30/TX02D079","no seed for NY 2025",0.347302039619535
1,167,"FL13123-54",254,"FL13123-54","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13","no seed for NY 2025",0.356744131539017
1,168,"FL03146BSB-S1-B-S1",13,"FL03146BSB-S1-B-S1","TAMO 405/HZN 474","seed available",0.358090387890115
1,169,"LA17088SBSS-15-1",324,"LA17088SBSS-15-1","LA10041SSBS-80 / LA16165,F1 (TX09CS065 / BW 08-5)","seed available",0.36373495333828
1,170,"FLLA17069-44",333,"FLLA17069-44","LA09015SBS-U4 / LA99016","seed available",0.364073738921434
1,171,"Rodgers",185,"Rodgers","Coker 80-33/NC 81-376","seed available",0.365094599546865
1,172,"TX20CAS1070",307,"TX20CAS1070","TAMO411/TX14OCS5189//TX15OCS6040","seed available",0.366436232579872
1,173,"FLLA17030-18",280,"FLLA17030-18","HZN 306  / LA16090,F1 (LA08085SBSBS-30 / MN2013BT1021-1-2)","seed available",0.366814780747518
1,174,"TAMO 405",189,"TAMO 405","unknown (single vol. plant sel.)","seed available",0.367637035204098
1,175,"TX14OCS5054",222,"TX14OCS5054","TX02U7029//TX00D110","seed available",0.373248378513381
1,176,"NC14-1686",164,"NC14-1686","Gerard 224 / NC02-8057","seed available",0.375662323785946
1,177,"FLLA17152-42",345,"FLLA17152-42","NC12-3447 / LA16016,F1 (BW 08-5 / MN11140)","seed available",0.38040319737047
1,178,"FL13108-62",247,"FL13108-62","LA07065SBSBSB-20 (TAMO 405/UFRGS 028152-1)/BW 533","seed available",0.381516486406326
1,179,"SCLA17152SBS-1-1",364,"SCLA17152SBS-1-1","NC12-3447 / LA09015SBS-U1","seed available",0.388389128958806
1,180,"FLLA17032-41",376,"FLLA17032-41","HZN 306  / LA16188,F1 (UFRGS 087045-3 / MN11140)","seed available",0.394975148141384
1,181,"LA15029SB-18-1-1",312,"LA15029SB-18-1-1","BW 139-9 / LA99016","no seed for NY 2025",0.398737540934235
1,182,"LA08051SBSB-32",95,"LA08051SBSB-32","LA9339/UFRGS 055093-1","seed available",0.399216248188168
1,183,"TX19CAS0058",358,"TX19CAS0058","TX14OCS5003/LA07023SBS-FS5-Ab1","seed available",0.399399789050221
1,184,"TX14OCS5036",217,"TX14OCS5036","TX08Cas1809//TAMO406","seed available",0.40009366767481
1,185,"TX18OCS9135",455,"TX18OCS9135","FL0703-R5-AB1//FL03254-L1/TX09CS1029","seed available",0.402610884513706
1,186,"FL12034-10",237,"FL12034-10","LA06055SBSBSB-79 (TAMO 405/LA02054-S-B-167-S2)/FL11048 F1 (FL03038-L1/MN 08262)","seed available",0.402812063228339
1,187,"Ozark",184,"Ozark","Florida 167 (Bond/Fulghum)/6-81-3 (unknown/unknown)","seed available",0.403040178120136
1,188,"NC14-1514",152,"NC14-1514","NC02-8037 / SS76-40","seed available",0.405010984744877
1,189,"TX14OCS5014",213,"TX14OCS5014","TX08Cas 1840//NF27","seed available",0.408645097631961
1,190,"LA08086SBSBS-34",107,"LA08086SBSBS-34","UFRGS 046050-4/FL0016-H4","seed available",0.411176424706355
1,191,"LA08085BS-T1",100,"LA08085BS-T1","UFRGS 046048-1 F6/FL0206FSB-34-S1-B-S1","seed available",0.411264465656132
1,192,"NC14-1605",159,"NC14-1605","NC03-2567 / SS76-40","seed available",0.411364546976984
1,193,"TX18OCS9125",454,"TX18OCS9125","FL0703-R5-AB1//TX09CS1029/LA04004SBSB-7-B-S1","seed available",0.416336356662214
1,194,"TAMO 606",191,"TAMO 606","Citation/84IORN#30 (=CX466-1-B4-D3-5)","seed available",0.419037367682904
1,195,"LA02012-S-B-139-S2-B-S2-B-S2",43,"LA02012-S-B-139-S2-B-S2-B-S2","LA9513IBTB-80-I1-B/MF9424-24","seed available",0.421286464901641
1,196,"TX19CAS0055",356,"TX19CAS0055","LA08051BS-T2/TX14OCS5001","seed available",0.421657292172313
1,197,"NC12-3578",136,"NC12-3578","SS76-40 / NC02-7989 // LA98105B","seed available",0.424946067389101
1,198,"FLLA16102-41",293,"FLLA16102-41","LA10008SSBS-21 / NC09-4274N","seed available",0.425025473814458
1,199,"NC20-4441",445,"NC20-4441","Horizon306/Gerard224","seed available",0.426487296354026
1,200,"LA17070SBSS-20-1",429,"LA17070SBSS-20-1","LA09015SBS-U4 / LA16170,F1 (TX14OCS5160 / HZN 306 )","seed available",0.428007071837783
1,201,"FL13123-60",255,"FL13123-60","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13","seed available",0.431779580423608
1,202,"LA17067SBSS-44-1",428,"LA17067SBSS-44-1","LA09015SBS-U4 / LA10001SSBS-20","seed available",0.432720217155293
1,203,"LA03018SBSBSB-65-S1",46,"LA03018SBSBSB-65-S1","LA9819IBI-75-2-B/FL9418-A3-B4-B-I","seed available",0.435433067614213
1,204,"TX19CAS0032",352,"TX19CAS0032","LA07005SSBSB12//LA07007SBSBSB-18/TX09CS058","seed available",0.438760796794668
1,205,"TX14OCS5018",215,"TX14OCS5018","NF27//TX07CS1805","seed available",0.440862786024809
1,206,"FL99084-J2",30,"FL99084-J2","TX96D210FL/98008 F1(LA90151-BB-11-2-1/UFRGS 940556)","seed available",0.441416240297258
1,207,"FL13057-4",240,"FL13057-4","FL0704-R1 (FL99084-J4/UFRGS 057070-1)/FL0772-R3 (LA02018SBSBS5-B-S1/UFRGS 057029-4 )","seed available",0.444738814607263
